unique_id,ds,Wind_Speed,Wind_Direction,Humidity,Temperature,Diwali_Flag,day,month,weekday,weekend
air_quality,2026-01-08,7.516666666666667,280.2916666666667,76.125,12.645833333333334,0,8,1,3,0
air_quality,2026-01-09,1.9458333333333333,182.41666666666663,78.58333333333333,12.541666666666666,0,9,1,4,0
air_quality,2026-01-10,3.891666666666667,105.16666666666669,85.79166666666667,11.970833333333331,0,10,1,5,1
air_quality,2026-01-11,6.2125,106.25,87.41666666666667,12.179166666666667,0,11,1,6,1
air_quality,2026-01-12,3.716666666666667,190.375,86.75,13.15,0,12,1,0,0
air_quality,2026-01-13,5.695833333333333,296.5416666666667,86.16666666666667,13.129166666666668,0,13,1,1,0
air_quality,2026-01-14,4.016666666666667,228.0,83.66666666666667,12.9625,0,14,1,2,0
air_quality,2026-01-15,3.0500000000000003,150.66666666666666,87.08333333333333,12.820833333333333,0,15,1,3,0
air_quality,2026-01-16,3.3791666666666664,160.0,82.91666666666667,14.041666666666666,0,16,1,4,0
air_quality,2026-01-17,6.070833333333333,308.1666666666667,81.29166666666667,13.025,0,17,1,5,1
air_quality,2026-01-18,3.475,282.4166666666667,87.5,12.145833333333334,0,18,1,6,1
air_quality,2026-01-19,2.6750000000000003,246.79166666666663,86.41666666666667,14.241666666666667,0,19,1,0,0
air_quality,2026-01-20,6.516666666666667,284.5833333333333,83.375,16.145833333333332,0,20,1,1,0
air_quality,2026-01-21,6.491666666666667,285.0416666666667,79.58333333333333,15.6125,0,21,1,2,0
air_quality,2026-01-22,4.1000000000000005,293.6666666666667,76.75,15.908333333333331,0,22,1,3,0
air_quality,2026-01-23,6.3625,301.3333333333333,70.66666666666667,16.224999999999998,0,23,1,4,0
air_quality,2026-01-24,8.008333333333333,284.2083333333333,67.79166666666667,14.845833333333331,0,24,1,5,1
air_quality,2026-01-25,7.6625,270.5416666666667,64.79166666666667,14.154166666666669,0,25,1,6,1
air_quality,2026-01-26,6.104166666666667,271.5833333333333,65.0,13.958333333333334,0,26,1,0,0
air_quality,2026-01-27,5.9375,272.875,64.58333333333333,14.154166666666669,0,27,1,1,0
air_quality,2026-01-28,4.4875,252.95833333333331,59.958333333333336,15.15,0,28,1,2,0
air_quality,2026-01-29,6.620833333333334,115.0,62.04166666666666,16.841666666666665,0,29,1,3,0
air_quality,2026-01-30,4.575,143.58333333333334,65.04166666666667,18.03333333333333,0,30,1,4,0
air_quality,2026-01-31,3.5083333333333333,140.0,65.79166666666667,18.879166666666663,0,31,1,5,1
air_quality,2026-02-01,5.395833333333333,155.5,62.583333333333336,19.1375,0,1,2,6,1
air_quality,2026-02-02,6.575,300.7916666666667,70.75,17.783333333333335,0,2,2,0,0
air_quality,2026-02-03,4.4875,244.375,67.375,16.179166666666667,0,3,2,1,0
air_quality,2026-02-04,3.704166666666667,129.125,69.25,17.5,0,4,2,2,0
air_quality,2026-02-05,6.025,300.9583333333333,70.95833333333333,15.929166666666667,0,5,2,3,0
air_quality,2026-02-06,10.620833333333334,316.5416666666667,54.75,15.579166666666666,0,6,2,4,0
